Schedule_number,Blue_Interval,Yellow_Interval,Blue_Pun_Interval,Yellow_Pun_Interval,Blue_Ratio,Yellow_Ratio,Blue_Pun_Ratio,Yellow_Pun_Ratio,Blue_Random_Interval,Yellow_Random_Interval,Blue_Pun_Random_Interval,Yellow_Pun_Random_Interval,Blue_Random_Ratio,Yellow_Random_Ratio,Blue_Pun_Random_Ratio,Yellow_Pun_Random_Ratio,Blue_FH,Yellow_FH,Blue_Pun_FH,Yellow_Pun_FH,Blue_FH_Intervals,Yellow_FH_Intervals,Blue_Pun_FH_Intervals,Yellow_Pun_FH_Intervals,Blue_FH_Type,Yellow_FH_Type,Blue_Pun_FH_Type,Yellow_Pun_FH_Type,Session_Duration,Blue_Mag,Yellow_Mag,Blue_Pun_Mag,Yellow_Pun_Mag,Changeover_Delay,Blackout_Duration,Blue_Distribution,Yellow_Distribution,Blue_Pun_Distribution,Yellow_Pun_Distribution,SD_Blue,SD_Yellow,SD_Blue_Pun,SD_Yellow_Pun,Schedule_Lights,Context_Path,Context_Position,Context_Size,Context_Opacity,Context_Depth,Ding_Path,Womp_Path,Keyboard_Path
1,x,x,x,x,x,x,x,x,7.309573445,1.158489319,x,x,x,x,x,x,FALSE,FALSE,FALSE,FALSE,0,0,0,0,Progressive,Progressive,Regressive,Regressive,5,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/desert_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
2,x,x,x,x,x,x,x,x,4.981071706,1.251188643,x,x,x,x,x,x,FALSE,FALSE,FALSE,FALSE,0,0,0,0,Progressive,Progressive,Regressive,Regressive,5,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/grassland_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
3,x,x,x,x,x,x,x,x,3.511886432,1.398107171,x,x,x,x,x,x,FALSE,FALSE,FALSE,FALSE,0,0,0,0,Progressive,Progressive,Regressive,Regressive,5,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/swamp_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
4,x,x,x,x,x,x,x,x,2.584893192,1.630957344,x,x,x,x,x,x,FALSE,FALSE,FALSE,FALSE,0,0,0,0,Progressive,Progressive,Regressive,Regressive,5,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/snow_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
5,x,x,x,x,x,x,x,x,2,2,x,x,x,x,x,x,FALSE,FALSE,FALSE,FALSE,0,0,0,0,Progressive,Progressive,Regressive,Regressive,5,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/desert_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
6,x,x,x,x,x,x,x,x,1.630957344,2.584893192,x,x,x,x,x,x,FALSE,FALSE,FALSE,FALSE,0,0,0,0,Progressive,Progressive,Regressive,Regressive,5,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/grassland_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
7,x,x,x,x,x,x,x,x,1.398107171,3.511886432,x,x,x,x,x,x,FALSE,FALSE,FALSE,FALSE,0,0,0,0,Progressive,Progressive,Regressive,Regressive,5,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/swamp_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
8,x,x,x,x,x,x,x,x,1.251188643,4.981071706,x,x,x,x,x,x,FALSE,FALSE,FALSE,FALSE,0,0,0,0,Progressive,Progressive,Regressive,Regressive,5,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/snow_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
9,x,x,x,x,x,x,x,x,1.158489319,7.309573445,x,x,x,x,x,x,FALSE,FALSE,FALSE,FALSE,0,0,0,0,Progressive,Progressive,Regressive,Regressive,5,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/snow_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
ACQ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,60,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/desert_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
EXT,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,60,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/desert_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
Tutorial,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,15,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/desert_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
Keyboard_Tutorial,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,15,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,stimuli/contexts/desert_context.jpg,(0;0),(2;2),x,1,stimuli/ding.wav,stimuli/ha.wav,x
